timestamp,megaraid2,megaraid7,megaraid4,megaraid6,megaraid3,megaraid9,megaraid8,megaraid5,megaraid1,megaraid0,max,min,avg
1633582921,0.0546,0.0546,0.0546,0.0,0.0546,0.0,0.0,0.0,0.0,0.0546,0.0546,0.0,0.0273
1633582922,0.0546,0.0546,0.0546,0.0546,0.0546,0.0,0.0546,0.0546,0.0546,0.0546,0.0546,0.0,0.0491
1633582924,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546
1633582926,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546,0.0546
1633582927,0.0924,0.0924,0.0735,0.0735,0.0735,0.0546,0.0735,0.0735,0.0924,0.0735,0.0924,0.0546,0.0773
1633582928,0.0924,0.0924,0.0735,0.0735,0.0924,0.0546,0.0735,0.0735,0.0924,0.0735,0.0924,0.0546,0.0792
1633582929,0.0924,0.0924,0.0735,0.0735,0.0924,0.0735,0.0735,0.0735,0.0924,0.0924,0.0924,0.0735,0.0829
1633582930,0.0924,0.0924,0.0735,0.0924,0.0924,0.0735,0.0735,0.0924,0.0924,0.0924,0.0924,0.0735,0.0867
1633582931,0.0924,0.0924,0.0735,0.0924,0.0924,0.0924,0.0735,0.0924,0.0924,0.0924,0.0924,0.0735,0.0886
1633582932,0.0924,0.0924,0.0735,0.0924,0.0924,0.0924,0.0735,0.0966,0.0924,0.0924,0.0966,0.0735,0.089
1633582933,0.0924,0.0924,0.0735,0.0924,0.0924,0.0924,0.0735,0.0966,0.0924,0.0924,0.0966,0.0735,0.089
1633582934,0.0924,0.0924,0.0735,0.0924,0.1008,0.0924,0.0735,0.0966,0.0924,0.1008,0.1008,0.0735,0.0907
1633582935,0.0924,0.0966,0.0924,0.0924,0.105,0.0924,0.0798,0.0966,0.0924,0.1008,0.105,0.0798,0.0941
1633582936,0.0924,0.0966,0.0924,0.1008,0.105,0.0924,0.0798,0.0966,0.0924,0.1008,0.105,0.0798,0.0949
1633582937,0.0924,0.0966,0.0924,0.1008,0.105,0.0924,0.0798,0.0966,0.0924,0.1008,0.105,0.0798,0.0949
1633582938,0.0924,0.0966,0.0924,0.1008,0.105,0.0924,0.0798,0.0966,0.0924,0.1008,0.105,0.0798,0.0949
1633582939,0.0924,0.0966,0.0924,0.1008,0.105,0.0924,0.0798,0.0966,0.0924,0.1008,0.105,0.0798,0.0949
1633582940,0.1008,0.0966,0.0924,0.1008,0.105,0.0924,0.0798,0.0966,0.0924,0.1008,0.105,0.0798,0.0958
1633582941,0.1008,0.0966,0.0924,0.1008,0.105,0.0924,0.0819,0.0966,0.0924,0.1008,0.105,0.0819,0.096
1633582942,0.1008,0.0966,0.0924,0.1008,0.105,0.0924,0.1008,0.0966,0.0924,0.1008,0.105,0.0924,0.0979
1633582943,0.1008,0.0966,0.0924,0.1008,0.105,0.0924,0.1008,0.0966,0.0924,0.1008,0.105,0.0924,0.0979
1633582944,0.1155,0.0966,0.0924,0.1008,0.105,0.0924,0.1008,0.0966,0.0924,0.1008,0.1155,0.0924,0.0993
